"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Igfbp5",1954.58727212353,4.95541262089999,0.133892020567288,37.0105148903151,7.75780587699634e-300,7.70039811350657e-296
"Acta1",5357.81784042045,6.75836347720378,0.202241127819498,33.4173545711022,7.67366485820381e-245,3.80843986912655e-241
"Pacsin3",1419.124948256,3.66769361231779,0.116059598825286,31.6018119090612,3.48641070068868e-219,1.15353708716786e-215
"Gadd45a",777.581995007009,4.3125116553607,0.14521581911679,29.6972580645113,8.33082931194706e-194,2.06729529375966e-190
"Dcn",4221.89156164525,8.36181268442207,0.284414300760649,29.4001133630021,5.47335250493887e-190,1.08656993928046e-186
"Tnni1",1489.25753443274,9.33944411323227,0.323509591074676,28.8691413512882,2.91435914123221e-183,4.82132147264515e-180
"Myl1",1492.22273734743,10.7577890101627,0.384534732319242,27.9761179056033,3.17285959224992e-172,4.49911490181039e-169
"Cox6a2",5831.26617091155,5.9894338765056,0.225492403551159,26.561577162606,1.88764357069088e-155,2.34209376033471e-152
"AABR07052585.1",3483.60244947472,4.64352012796819,0.181323989400709,25.6089673700397,1.21214987527279e-144,1.33686662910641e-141
"Dusp6",1227.34988344527,-2.82548947734268,0.110443955081981,-25.5830160667947,2.3576272065067e-144,2.34018076517855e-141
"Tnnt2",26657.9628611029,4.5397390536657,0.17858102446737,25.4211726425345,1.47131817278767e-142,1.32766401664458e-139
"Tnnt1",898.46066091172,4.58369762645362,0.187277052217363,24.4754900409985,2.69473518441711e-132,2.22899512004369e-129
"Axl",999.430756011899,-2.7747713129157,0.115753907235618,-23.9712972044013,5.54213994532547e-127,4.23163700748466e-124
"Scd2",1228.1328147341,3.68963311558009,0.162205213741414,22.7466986447308,1.54715253459942e-114,1.09693114703099e-111
"AY172581.18",2701.1414223994,4.30618311540623,0.196360057851947,21.9300358866926,1.3432145912946e-106,8.88849868879348e-104
"Cox8b",4763.15343031126,8.29480133117516,0.384513824055063,21.5721797559802,3.27874769137194e-103,2.03405309903487e-100
"Tmem38b",374.289092394645,3.57391043423998,0.165745538718758,21.5626342758119,4.03002874792166e-103,2.35306266775708e-100
"Tmem8c",203.764600366258,4.42406151859871,0.206098364689539,21.465776913189,3.25268370017265e-102,1.79367435599521e-99
"Slc29a1",215.994899081755,4.84294486277498,0.23457510597567,20.645604496827,1.06916710912444e-94,5.58555406587851e-92
"Jsrp1",367.911333079353,3.16088666920224,0.15682145046919,20.1559586379622,2.38592348534926e-90,1.18413382577884e-87
"Ckap4",2435.69771774322,-2.12969701604237,0.106853118746411,-19.9310702488401,2.18832123960473e-88,1.03434650591984e-85
"Flna",4345.39928486926,-2.53227524245848,0.127079719260164,-19.9266669552069,2.38955511545662e-88,1.07812382163738e-85
"Myl4",3117.49549831011,7.31251552325001,0.36805061926331,19.8682331737051,7.6653682307181e-88,3.30810630687425e-85
"Actb",11795.0998064657,-2.33185996308638,0.117639165710597,-19.8221395825177,1.91779171947099e-87,7.93166691977877e-85
"Col6a3",856.033358052669,4.15316685063978,0.213015771005114,19.4969923167805,1.1643092181353e-84,4.62277331968439e-82
"Hspb8",1180.17488388272,2.93487742901654,0.150588191213781,19.489426132027,1.34986328351778e-84,5.15336267392211e-82
"AY172581.9",269256.156969045,2.40555480458668,0.125106312351657,19.2280849732426,2.15437730732472e-82,7.92012931574266e-80
"Pygm",998.23531166147,6.10672126868673,0.318027944915,19.2018386004377,3.57220628981828e-82,1.26634712974058e-79
"Tagln2",4320.74473542799,-1.97516757405439,0.103271603194936,-19.125950531881,1.53548753477548e-81,5.25560319661427e-79
"Serpine1",1888.58320480651,-4.40353725828773,0.230434161744468,-19.1097414764868,2.09504166283688e-81,6.93179451510629e-79
"Vash2",1026.94020238044,2.11053518924635,0.111276078644381,18.9666567599965,3.21728700247605e-80,1.03015454150249e-77
"AY172581.24",1130585.43006678,1.82286201856786,0.096302736363137,18.9284550720786,6.64837310459961e-80,2.06224223238299e-77
"Hbegf",364.922450054791,-3.04080074142355,0.160998132842689,-18.8871801662116,1.45408434847875e-79,4.37370946757577e-77
"Igf1",753.831356933826,3.63321550001724,0.192837869611349,18.8407780449956,3.49785955974339e-79,1.02116923500038e-76
"Itgb1bp2",311.425785847812,4.64659263646877,0.247552164389791,18.7701555666964,1.32496929863597e-78,3.75761293093162e-76
"Gsta1",404.475137968125,6.54842380458042,0.349146339750794,18.7555275797948,1.74477768600866e-78,4.81073980870055e-76
"Casq1",391.590888049382,4.77720234213267,0.25493390768229,18.7389837058718,2.38132462533828e-78,6.38838600840749e-76
"Emc7",752.964945450006,2.92902417464199,0.156340381853581,18.7349176195893,2.57039284741973e-78,6.71413668512848e-76
"Csrp3",2115.80962388238,5.55595169014524,0.299543572862639,18.5480584245185,8.45513659968094e-77,2.15194066380598e-74
"Akap12",1349.31985526815,-2.75617926865098,0.149264689364442,-18.4650454195603,3.9469112870438e-76,9.79426035879919e-74
