"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccdc80",6460.03137251363,4.71487753372196,0.113251073197575,41.632078183458,0,0
"AC113925.2",593.175534762909,-6.16494577581551,0.215328606319378,-28.6304076415727,2.81150213485773e-180,1.39534850952989e-176
"Acta2",14049.2175532142,2.38610949183935,0.0950546734209514,25.1024952899729,4.67090906509901e-139,1.54544811267243e-135
"Pcolce",4971.19213696108,2.09548891419456,0.0918779796330381,22.8073029311699,3.88051071206785e-115,9.62948733199638e-112
"Wisp2",456.207565116723,3.41204038138641,0.149755392345394,22.7840902951724,6.59379719335997e-115,1.30900061882582e-111
"Eln",1179.78900365327,3.96449588359829,0.175700936333362,22.563885920769,9.8114001124056e-113,1.6231326252623e-109
"7SK",603.624116513186,-5.63816311596111,0.25520514138502,-22.0926705683213,3.71756147635338e-108,5.27150217346909e-105
"Col11a1",369.858926978901,5.47729819911334,0.258322691875129,21.2033180645277,8.89954126733246e-100,1.10421058274427e-96
"Tgfb3",1075.80042853876,3.72745061805158,0.185566577893686,20.0868640267058,9.6146163787206e-90,1.06038535750201e-86
"Gpc4",460.759853181647,2.68244615292512,0.134177815233276,19.9917262645955,6.50074830897536e-89,6.45264277148895e-86
"Gstp1",2119.05806491493,-2.00525122478832,0.104457854508991,-19.1967491024403,3.9399256377505e-82,3.55524562548286e-79
"Nucb2",1059.28052718876,1.94201867472285,0.101896378533403,19.0587605042925,5.55758689366442e-81,4.59705062554275e-78
"Nqo1",658.105647883992,-2.80522760010376,0.147993812130519,-18.9550330498262,4.01301768438058e-80,3.06409334885859e-77
"Col14a1",637.048210847048,3.49389277530625,0.185330320483004,18.8522459045047,2.81628028783728e-79,1.99674272407663e-76
"Cxcl6",183.260395480389,-7.06189297906295,0.379129874282995,-18.6265801195917,1.95632154681555e-77,1.29456317824607e-74
"Tagln",1965.62605000054,3.02005748991295,0.16298403319978,18.5297751603132,1.18782215902707e-76,7.36895171906421e-74
"Col3a1",12997.6779831498,1.98081043633037,0.110118032950284,17.9880659258113,2.41645584277807e-72,1.41092592325972e-69
"Sema3c",708.793865686909,2.44607122552961,0.137166922305937,17.8328068050831,3.9317747602469e-71,2.16815534834504e-68
"Cnn1",511.409461182527,2.95225629945742,0.170453031071443,17.320057501471,3.32025821452796e-67,1.73457279144234e-64
"Ccl7",644.192541889286,-3.70369374950787,0.216608535941697,-17.0985586205373,1.52120138496505e-65,7.54972247358152e-63
"Sparc",35552.0868821744,1.4766970370912,0.0902058693746388,16.3702988212248,3.1167989303339e-60,1.47320696107116e-57
"Myh10",1713.90166230682,1.91319211566993,0.117210672771036,16.3226783913034,6.80818177389244e-60,3.07172783125711e-57
"Fstl1",8581.18831887501,1.74624327293798,0.107230774008742,16.2849078455372,1.26319310256108e-59,5.45150205913969e-57
"Itgb1",7364.46932897637,1.38808450216068,0.0855330035986584,16.228642088543,3.16381263975699e-59,1.30850017759283e-56
"Kdr",334.143999544164,-2.87063277210046,0.177361985306824,-16.1851637324337,6.41789374628693e-59,2.54816053302576e-56
"Ptn",909.75140627557,3.39099934175707,0.210279715731555,16.1261362274526,1.67156248348147e-58,6.38151123501425e-56
"Fkbp9",565.081449918805,1.83966206495231,0.117517491176304,15.6543680990636,3.10178778622823e-55,1.14030909504079e-52
"Cd93",277.702253815723,-3.25365823260013,0.214424902969616,-15.1738822661899,5.26672802183719e-52,1.86705508374128e-49
