"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"AABR07000121.1",7.17854484378993,7.43739982214588,7.08383071310573,5.96332422097379,6.15345676915007,6.15841725809658,6.80929545420595,7.46792881774683,7.51955028831381,7.62659944968437,7.43692750042523,7.24623402516316,5.16015964736083,5.28819527551175,5.53650823162157
"Lrp11",6.05219407858777,6.08071919762882,6.18201414411648,6.2299139263587,6.47917717122814,6.42727801985102,6.53744924319741,6.01473261110464,6.3209561021597,5.2851721295287,4.92666289776867,5.44844536313132,8.02329116082892,7.38285419995645,7.05662878089404
"Pcmt1",6.09473235464415,5.56325446366385,5.07056398555178,5.62327848988604,5.39494619777909,4.26363326225594,5.03989033973684,5.21539071237551,5.39264671753016,5.59990185199695,4.5237855005475,5.1121198242279,6.51886435824088,6.07645155738724,6.76353705823565
"Nup43",6.55887085608584,6.63244602749316,6.46866752173172,5.62596008870787,6.06249560052594,5.66364774672356,6.00691944563182,6.87735532546713,6.31648899824935,6.25009883901128,6.11593496969889,6.11279509976466,4.64328200986664,5.7243692113468,5.95669194172304
"Lats1",6.66319319655936,7.07970458886422,7.36602627918312,6.62684429519528,6.78028018655969,6.54641005019081,6.91997982835401,6.93919687346009,7.01537855716473,6.87266246747237,6.71444657370417,6.68412070806971,7.25174288773448,6.89340251354121,6.78604543068984
"Katna1",6.64915069032513,6.80550948052353,6.5517212156845,7.14202331645926,6.96602396023093,6.84749729308826,6.21490529889803,6.5317317478613,6.88825299524422,6.55348106619444,6.60704237251745,6.76275334746205,4.22505880923537,6.26879966481999,5.57474912941902
"Ginm1",5.13379642583258,3.81054271163,4.52477904843314,6.0367111679101,6.31637220603614,5.65005070402828,6.02892335743824,6.20729774955046,5.64507824124963,6.00714188298389,6.34591898887017,6.31655993380385,6.81674412776154,7.18003854756389,6.62511064070838
"Ppil4",9.49104437213454,9.38805423873773,9.57926782410273,9.93802766422579,9.69188436016545,9.91157355418447,9.61521608672124,9.47614803099862,9.5746593546652,9.64676419545286,9.7226177385912,9.54478794764335,8.86590120891345,9.00725939193998,8.25444941164926
"Tab2",8.30257737848267,8.5288465581016,8.78853675124205,8.18193852772921,8.06874322842834,8.32020281246651,8.69596138656782,8.52737364839679,8.27137611619291,8.38702623990932,8.47858676224842,8.492476416832,8.82328664628382,8.88993642292928,8.94378584392199
"Ust",6.48512480186958,6.33984252035473,6.81346992443223,5.57199641232281,6.11665193491191,5.1249700448489,5.0483228920917,5.12964382707849,5.65787155220308,6.51134177455915,6.13249659825797,6.3817498436753,6.72716094070775,6.35573473472187,6.61748731417351
"U6",7.93036168560572,7.65119572880954,8.38876944229317,8.20145912202125,8.06488437555327,8.14635010411405,10.5065007720904,9.60552811387854,9.74784245337913,7.79289955165877,7.4018799671655,7.47912040406309,8.62611434415274,8.03781065975283,8.13490361904084
"Sash1",5.17725005470755,3.99356017973602,4.97818164446833,6.61436346258944,7.14897826930503,6.94745125519774,8.50660890024843,8.13139361707228,8.16472260272403,8.75918855012812,8.70938768145538,8.66577343167836,8.2290852536908,8.4302524119273,8.53741735651491
"Stxbp5",7.81470336492977,7.7818486827251,8.25797198191637,7.87823599383654,8.01211905283805,7.85426857911338,7.87684769632826,7.14560208721299,7.13117386956021,6.47013462370868,6.49002423873402,7.05953001792692,8.27402783618307,7.94449283205264,8.14186257751995
"Adgb",0.309465447780166,0.269779022524596,0.224433874514977,0.355311676158552,0.339135448222296,0.340932963309293,4.12820504089976,4.99978030040324,4.32220339437305,1.69720694196924,2.06899809749009,2.1631953599695,0.645463021758663,0.644504007355727,0.61576825637926
"Rab32",7.34100909212507,6.91229060053132,7.2601856027233,7.13617762982113,7.45602484942108,7.6107129248007,10.333356208998,10.6761508177868,10.5069767314408,9.45047339396957,9.38215043079448,9.37576767186202,6.20438063993378,6.36305798119303,6.14654768945835
"SNORA17",6.03945756277054,6.01722768546285,6.22572792951979,4.36596326386025,3.59059449498296,4.45048351884857,6.39648089794683,5.43433799396839,5.64825499444478,4.81391015904576,5.58912531164575,5.70544293458598,7.46109272157212,6.92500140520481,6.6247594965895
"Shprh",7.17552266513291,7.44173806768441,7.1180181333649,6.96266008990968,6.6294475542651,7.09852233863252,7.03453830373577,6.59046991452148,6.67497705822799,6.54864912674264,6.57886084460252,7.01605284638097,6.29459822523768,6.466070764258,6.14254539515984
"Fbxo30",5.96600206289543,5.89708628564696,5.52574135039903,5.75885468369995,6.43850173966366,6.1719573994752,6.48386040035731,6.20145356982349,6.43959663589028,5.96696398115614,5.34754758458148,5.20732291999092,5.75280689120263,5.10788157439014,5.82844396513802
"SNORA70",1.1008145913244,1.05309031845001,0.998880039260246,2.68483981657389,2.10030345052911,1.13884960878104,4.69118951752372,3.58790034295432,3.65262367603374,4.34900199280349,4.14899545539433,3.9932602796039,4.00713397407397,4.25749718519992,3.03237055847733
"SNORA73",6.2471975411649,6.66547754920873,6.67481009107404,5.51049045735576,6.76680243515205,6.11312196128081,7.51488582137541,6.82260618808315,6.99794997637813,5.95306359878483,5.88617565331717,6.05868429551646,6.11015725315142,7.05332790488702,6.63037237140045
"Utrn",10.060891313886,9.99504049154281,10.2735187265363,9.05501211365068,9.01854561545568,8.86522769666642,8.85745148458818,8.21999676877464,8.3556395702152,8.63881227033604,8.53704806828707,8.58169836644086,10.2731184933331,10.3156707828918,10.2010970542059
"Stx11",6.44887812144036,6.99367328631612,6.25012843447823,4.81217210064509,5.32847202414741,4.6391490570867,4.53108143840499,4.25419492858905,2.71723095526982,6.26299734942414,5.40630567123085,5.69746683379756,4.16849587196907,2.86157680317787,3.29130306348945
"Sf3b5",8.8752975701501,9.34789007428769,8.88579111385073,8.71073163503288,8.70873533204739,8.76605781691861,9.0590437984602,8.66064364784008,8.8013332930393,8.89194794111538,8.53993719670954,8.86577460470945,7.87761131162592,7.95798193317916,8.45625786891222
"Plagl1",7.2327527996516,7.46755175442905,7.80584657338562,7.72803621918878,7.60436506575586,7.55223695525477,6.32229945666375,6.39900539965749,6.5872294993694,5.42208303345427,6.04039275930954,5.51436924591682,4.42520626752824,3.89270915795825,3.6488255819611
"Ltv1",6.99977503042965,7.56809016258995,7.22845773585894,7.74778999597076,7.58114865536371,7.8354416359169,7.34878096939943,7.65489535749437,7.43315985882575,7.43081654562,7.00245290716047,7.11715440500706,6.57561552415488,7.22543098934811,7.01816987294727
"Phactr2",5.61187188967134,6.26101901414869,6.50723300914912,7.07699078870713,6.96233187265865,6.98754059639891,6.54327027128963,6.88719715264127,6.77428425547472,6.02400898214433,6.08941690105898,6.20225946619275,8.11674274955702,8.36885023946326,8.10783486351144
"Fuca2",1.29874386636546,3.64036167708143,1.78679484850952,1.38582943659484,2.70786210850827,1.73015580544234,5.07877595776541,5.15701667606019,5.73985583290252,6.06719653776208,5.51607136335166,5.97594968080441,7.75678657100664,7.21998570381509,7.62962547613276
"Pex3",7.12728765143815,7.29879725763199,6.66664837183628,7.64078142885226,7.52760351391349,7.26658711585281,7.04299443585731,6.96952332401968,7.29396244613067,7.2368241816403,6.83246221608718,7.21237330836661,7.933856548398,8.18349496861522,7.75030523805774
"Aig1",8.32366837664155,8.46320607107187,8.51874126925049,8.68063478465249,8.86565993997651,9.00552635213966,8.92122087933171,8.67458359047903,8.54450770977426,8.47015541490158,8.55255590804169,8.54273292386045,6.8433373464119,6.70181594403483,7.01191179883675
"Hivep2",8.39881196428015,8.32236585344739,8.33881854484799,7.54812009622848,7.43545862782161,7.77022682922344,9.05527174450067,8.45941364753245,8.88663327321537,7.16651854863317,7.60649210509493,7.67872124541761,8.14141769086881,7.7107705036255,8.22990909429907
"Adgrg6",6.40240403118818,5.6971782560244,6.26250656470358,5.84090989979352,4.63239478751019,5.39904694643188,4.78501879125029,4.25966836302753,4.45398743248153,3.56760250638057,5.11488265071004,3.27827298469532,4.49679979682093,4.17064010029916,4.51115024202922
"Vta1",7.3505139839982,7.26179872168193,7.57335274476748,8.46680438629377,8.2975562771549,8.26589921797209,7.58337800822136,7.69304213873682,7.48653912244915,7.3289821043311,7.14369683046839,7.21080024553863,7.34641832207129,6.29171268882538,7.23965305466277
"5_8S_rRNA",4.1003289399545,3.07549702833391,3.47784116801644,3.26407017730453,3.45677134063869,2.79500934985637,6.45890892654165,5.37770963676713,5.39336959155649,5.16422571417674,4.75057878856534,4.47717816956215,4.29317547814166,3.939716332047,4.49489322617163
"LOC100909555",5.27008968420513,7.4573544539017,6.15959504788326,6.51051927343974,5.31822076043222,5.89725997780025,5.32836122042419,5.34614085123207,6.46387155146935,3.60863514204208,6.39333349085487,3.5238279004593,3.66889582049505,6.87032915074121,6.96225932594252
"Cited2",11.3866435061035,11.1566402651072,11.2146140392869,9.83543111042796,9.54122488772264,9.83937920720791,10.2487797260439,9.84983104067091,9.97528245797697,10.5139100875005,9.96613852653078,9.96055665857891,9.06238094391158,8.74053233764649,8.69071897725744
"Txlnb",1.90089944244354,1.80978672100214,3.60345529645229,8.28561461369778,8.53137934310842,8.49361410690291,6.84533105245066,8.57932751791095,8.47828927417111,6.75702223850782,7.36566620286738,7.37752022882223,12.0743464381312,12.1861748459914,12.1103470868703
"Heca",6.83565504217597,6.78810886158986,6.64167903664168,7.61781583084554,7.49531160586778,7.60395029182509,7.5166355040204,7.49253689397615,7.48290081410156,7.47573025708984,7.79611886166481,7.39386687718092,8.67455880335046,8.48843981855085,8.43900159139272
"Abracl",10.2058863445385,10.3978884145121,10.0954735429745,9.29601813073991,9.0873922668065,9.11414981625943,9.20155932913078,8.98366855127471,8.97870479491582,9.7647347041773,9.75247562120606,9.73504493450626,7.4185425193851,7.20752420889725,7.49379484368604
"Ccdc28a",5.08143935166761,5.66740938077597,5.52404840851351,6.19376852389691,6.33139308469358,6.4832222566643,5.50669863131759,5.8346712872023,6.24773995902236,6.10440560689085,5.87298584598984,6.17417583311619,8.03293567256938,7.72313029555631,7.41476898687051
"Nhsl1",3.1429310883686,2.73875773554236,4.68236735644198,2.76209123332764,4.24292303732447,1.9702947798396,3.65606426558567,1.6432246305169,2.12085241620893,3.95522956556878,2.92804602172939,2.61733959538665,3.48034329421371,3.32879237455286,4.35456678110071
"Hebp2",5.59499471937891,5.79653650306841,5.4225669152175,5.28892582248219,5.42880272893783,5.22495779688114,4.80153466089421,4.56459781411686,3.46757241320225,4.75586973503596,4.45095041627424,4.84991501736659,2.06792862699434,3.68358643462562,2.01527287390802
"Perp",1.43762200537628,1.35478688033125,1.26030591389351,1.53356958200785,1.49967865592423,1.50344249808065,7.6982028350833,8.06835670923938,8.03625905752578,7.27736080693938,7.2770064265456,7.35184745980591,9.33726930905105,9.02288626900531,9.05165080797185
"Ifngr1",8.07490726215143,8.36806707435821,8.82743467381536,8.22517580221248,8.1693153542499,8.37284944160872,10.4115379557291,9.82034429422924,9.95208984043025,10.2136762405308,10.2773985659446,10.2229911222782,10.1677675924663,10.3405908432713,10.2301833540705
"SNORA42",5.59755821437988,5.19932675628655,5.61278343276123,4.64864072293516,5.76999536616117,4.75895115420041,8.29117794308886,7.18834471785413,6.68413239342131,5.77824406011396,6.08875678750382,5.62264507362191,4.26579718158867,5.64374718958259,4.60368175021547
