"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"AABR07000121.1",8.60557604210262,8.73105363024874,8.56167647335679,8.12766000275211,8.19143776731235,8.19314110971131,8.44168903538288,8.74663579699578,8.77288575201492,8.82882996223954,8.73094737317749,8.63745257299271,7.88741993520639,7.92180595160148,7.9927148092192
"Lrp11",8.16381105017149,8.17356979106531,8.20868687099264,8.22558432866303,8.31828649914945,8.2983976321438,8.34092891944666,8.15120177988224,8.25861529841092,7.93333561786973,7.84312120866529,7.9781657364991,9.07410315522323,8.72143278351173,8.5637361978885
"Pcmt1",8.20506574978535,8.0289238870474,7.89130453854133,8.04741487548059,7.97924077806648,7.70642704808839,7.88308275068626,7.92918151695891,7.97863313822523,8.04014185513201,7.76142922377918,7.90185670514908,8.37257169819524,8.20098130183806,8.47744423937515
"Nup43",8.35786673428669,8.38769983482791,8.32180780249931,8.03186679054659,8.17260636274694,8.04332546229122,8.15361781295106,8.49263648530488,8.26376080194138,8.23925768906451,8.19119093510613,8.19007906676458,7.76757743411082,8.06035781605981,8.1362887268448
"Lats1",8.37708170731932,8.5551101707109,8.69042044278761,8.36247606817793,8.42493121452486,8.33090280635193,8.48427732814655,8.49263648530488,8.52619695850628,8.46391057301043,8.39783262428826,8.38555696698649,8.63623524608905,8.47285879633511,8.42709167624943
"Katna1",8.38182556013468,8.4466649097022,8.34283070902142,8.59730739591222,8.51672491184562,8.4647938435939,8.21693122667589,8.3350498007271,8.48229736167544,8.34358524839493,8.36485447568389,8.42862716805106,7.66902797557822,8.23551209688128,8.00697926998442
"Ginm1",7.89918954925648,7.62088234302978,7.75838985380514,8.16822387937009,8.26856683514456,8.04332546229122,8.16549228735386,8.2283100661054,8.0419644833382,8.15807719974457,8.27958652147997,8.26844178670674,8.47412602266557,8.64230974306602,8.39203614487837
"Ppil4",9.96129749471351,9.8844810531844,10.0280909855291,10.3089740115784,10.1147221879457,10.2877714131001,10.0555907399197,9.95010780305026,10.0245912482713,10.0798379878237,10.1385940007532,10.0018826079935,9.51460138961852,9.61130813048088,9.12688650044648
"Tab2",9.16734324632229,9.30710958145592,9.47608801019275,9.09564309548781,9.03024174838719,9.17795706517392,9.41483197063464,9.30617907366251,9.14864063520224,9.21868521485193,9.2754586776924,9.28417340220837,9.49986582798267,9.54509722626822,9.58200641542614
"Ust",8.328289994561,8.27235565701465,8.46376346628455,8.0159809661383,8.19143776731235,7.89312007991296,7.87428897017409,7.89462470090075,8.0419644833382,8.33864173192408,8.19698887405842,8.28821146381826,8.42926135861518,8.27952759245898,8.38307055320162
"U6",8.95497108817752,8.80664704643117,9.22176068660564,9.10923658926011,9.03024174838719,9.07705891244118,10.8046197952594,10.0665923389112,10.1774103756778,8.88056064923283,8.68273311365474,8.72034686479768,9.37157008200881,9.01426021028209,9.07005581844635
