"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mylpf",28928.968647855,7.69289021346223,0.103413500405572,74.3896124131942,0,0
"Cox6a2",1714.64292345415,6.01249537951768,0.155379627608338,38.6955193036839,0,0
"Tnni2",4507.43150575291,8.84269920836064,0.205202441690949,43.0925633023337,0,0
"Tnnt3",18951.8493779104,7.72818571402657,0.129040720005864,59.889511726805,0,0
"Myl4",8486.70013786471,7.33865751367946,0.125239453588685,58.5970099948001,0,0
"Myog",7765.56991088394,4.13682053591546,0.0979555126455696,42.2316256042029,0,0
"Tnnt2",7859.9768483123,4.56051712852554,0.0990085200105065,46.0618654641196,0,0
"Neb",9352.75656879815,4.66540303908449,0.11341886348851,41.1342778051829,0,0
"Tnnc2",16635.9409391397,4.51003601161259,0.0962208656388454,46.871704818584,0,0
"Igfbp5",4037.33601797107,4.97607400270278,0.116528547743431,42.7026175050163,0,0
"Pacsin3",2726.14666794389,3.68893343964925,0.102031172128169,36.1549648279576,3.10876817426413e-286,2.5138629918254e-283
"Tceal7",1618.6036137462,6.46677253902224,0.179253268074282,36.0761765098889,5.36182696043491e-285,3.97445423442237e-282
"Gadd45a",1656.53731463535,4.33452732960892,0.127338729464951,34.0393480272784,5.83478172702699e-254,3.99233718937732e-251
"Hrc",1258.69046728967,6.45040446965798,0.191211706765412,33.7343595681181,1.81302255158865e-249,1.15191682831293e-246
"Tnni1",2770.76246426004,9.35664190161127,0.291295403810327,32.1208016989643,2.25921640594973e-226,1.33971532872819e-223
"Dcn",1715.58578855874,8.38219150165932,0.271123995684694,30.9164501669836,7.18001024578228e-210,3.99163694601459e-207
"Tnnt1",2541.79206085852,4.60610804916927,0.151124425650494,30.4789118591711,4.96009524090664e-204,2.59529689222733e-201
"Scd2",1867.54159866124,3.71200907355826,0.123357742336837,30.0914154494036,6.27553669840654e-199,3.1011610517959e-196
"Myl1",4244.790477683,10.7787308585235,0.374128778467958,28.8102158370761,1.59758972486483e-182,7.4792424224593e-180
"Hfe2",640.618838483811,4.93634638224265,0.182551727779726,27.040808883491,4.89897479310245e-161,2.17881903923232e-158
"Acta1",10619.4992963798,6.78126226596031,0.252842929158573,26.8200589533092,1.88577093887525e-158,7.98758690537872e-156
"Eno3",1209.76113022838,3.82681068687909,0.145618702873619,26.2796647090061,3.27564884568335e-152,1.32440438556152e-149
"Pgam2",666.877566425631,6.66911238261902,0.256626207376045,25.9876512644966,6.82970617233107e-149,2.64131462621239e-146
"Mustn1",657.848547087679,5.72943382467644,0.221368300301029,25.88190728702,1.06462588627815e-147,3.94576969101839e-145
"Tmem8c",584.126667370491,4.44487773083416,0.172098103119441,25.8275811892551,4.34621688451721e-147,1.54638396751122e-144
"AABR07052585.1",631.249865629339,4.66519006524436,0.183235604705459,25.4600631397124,5.46203559509967e-143,1.86864640840045e-140
"Jsrp1",1052.70423210289,3.18292901760497,0.12797458436009,24.8715714414744,1.51121321764344e-136,4.97860798923646e-134
"Tmem38b",843.889681097938,3.59503715407165,0.14466760603781,24.85032587829,2.56497689751004e-136,8.1483819654828e-134
"Akap12",2348.65561927701,-2.73513355346099,0.110198305188979,-24.8201054342036,5.43953534286940e-136,1.66843678878701e-133
"Mt-co2",83669.6564254616,2.02811453823981,0.08184213470863,24.7808118087364,1.44366896074165e-135,4.28047846859899e-133
"Mt-co1",77505.4620792577,2.70815256610864,0.110838373945456,24.4333480337895,7.56532883162214e-132,2.17076128894448e-129
"Actb",20312.0463025109,-2.31104228055044,0.0949878698251902,-24.3298674325842,9.47109189119569e-131,2.6326675741308e-128
"AY172581.9",163580.18693223,2.42665397482867,0.100290086431117,24.1963494217883,2.43055684505513e-129,6.55145549598952e-127
"Car3",33132.9851032848,2.69349729448144,0.111335205482362,24.1926826542585,2.65644056034365e-129,6.94971728948729e-127
"Axl",1345.87703027929,-2.75335712467889,0.114124862724455,-24.1258307694673,1.33943994924108e-128,3.40409095671413e-126
"Emc7",1612.44619262318,2.95060759367406,0.122593758563882,24.0681713999048,5.38735263261532e-128,1.3311250463087e-125
"Myh3",10607.4175516474,7.51857049732128,0.323144335159124,23.2669110341017,9.59243019048558e-120,2.30607206876674e-117
