Gene ID	Gene Name	ERR2704715	ERR2704716	ERR2704714	ERR2704720	ERR2704719	ERR2704713	ERR2704717	ERR2704718	ERR2704712
ENSG00000000003	TSPAN6	432	398	501	478	662	411	479	955	517
ENSG00000000005	TNMD	65	79	39	15	31	43	70	1038	16
ENSG00000000419	DPM1	284	311	335	286	348	247	428	319	307
ENSG00000000457	SCYL3	160	157	225	100	127	124	252	336	230
ENSG00000000460	C1orf112	75	65	79	97	96	69	105	229	130
ENSG00000000938	FGR	38	50	25	22	17	28	23	14	35
ENSG00000000971	CFH	622	565	661	505	272	478	577	303	495
ENSG00000001036	FUCA2	464	475	458	466	525	401	464	307	524
ENSG00000001084	GCLC	342	458	287	464	454	380	308	348	276
ENSG00000001167	NFYA	494	615	414	533	431	589	654	1289	585
ENSG00000001460	STPG1	139	99	111	75	70	83	117	149	148
ENSG00000001461	NIPAL3	343	413	451	253	205	301	512	261	428
ENSG00000001497	LAS1L	813	858	903	872	906	628	807	1101	1139
ENSG00000001561	ENPP4	123	141	78	77	68	143	230	40	135
ENSG00000001617	SEMA3F	260	308	353	337	315	248	244	2453	387
ENSG00000001626	CFTR	28	42	37	40	47	47	54	46	54
ENSG00000001629	ANKIB1	492	557	516	477	496	453	737	831	575
ENSG00000001630	CYP51A1	25	45	36	33	19	57	28	21	20
ENSG00000001631	KRIT1	65	81	77	52	62	66	131	139	99
ENSG00000002016	RAD52	374	391	345	482	523	434	465	610	625
ENSG00000002079	MYH16	2	4	5	5	4	8	2	5	3
ENSG00000002330	BAD	310	254	333	210	306	212	264	168	335
ENSG00000002549	LAP3	465	475	411	503	548	484	508	448	477
ENSG00000002586	CD99	3055	2932	3554	2215	2928	1832	1937	2608	2796
ENSG00000002587	HS3ST1	110	110	103	125	169	113	107	346	165
ENSG00000002726	AOC1	11	4	0	1	1	0	3	1	4
ENSG00000002745	WNT16	3	2	5	3	11	5	0	251	9
ENSG00000002746	HECW1	0	0	1	6	2	4	1	44	1
ENSG00000002822	MAD1L1	370	335	343	490	441	262	299	513	378
ENSG00000002834	LASP1	1733	1483	2338	2049	1698	1567	1627	2873	2403
ENSG00000002919	SNX11	152	115	158	129	120	108	123	166	198
ENSG00000002933	TMEM176A	660	450	211	161	121	309	603	3	357
ENSG00000003056	M6PR	595	826	779	651	527	622	894	487	690
ENSG00000003096	KLHL13	999	1236	1072	981	695	1210	1661	388	947
ENSG00000003137	CYP26B1	257	338	270	303	232	320	223	1238	262
ENSG00000003147	ICA1	919	605	748	657	891	615	834	50	779
ENSG00000003249	DBNDD1	117	63	115	90	92	87	76	127	124
